Symbol,Open Interest,Open Interest.1,chng in OI,%chng in OI,Volume,Futures Value,Options Value,Total Value,Underlying value
NYKAA,30654,31268,-614,-1.96,26703,129547.2375,1059.59093,130606.82843,301
ZYDUSLIFE,20990,21411,-421,-1.97,14062,85132.51461,450.8001,85583.31471,1102
BIOCON,30499,31115,-616,-1.98,22062,94383.3635,1240.35525,95623.71875,416
APOLLOHOSP,40651,41510,-859,-2.07,59696,147161.62425,2906.698,150068.32225,8585
LAURUSLABS,37112,37916,-804,-2.12,32715,171667.8054,1959.91971,173627.72511,1453
INDIANB,27244,27842,-598,-2.15,20596,96073.5327,642.753,96716.2857,835
GAIL,40605,41508,-903,-2.18,23943,72551.2973,592.39563,73143.69293,172
RBLBANK,29569,30235,-666,-2.2,24058,136100.47995,1747.00914,137847.4891,373
LODHA,40469,41390,-921,-2.23,105921,87701.92228,4381.53537,92083.45765,949
CAMS,16122,16498,-376,-2.28,16199,33322.89049,699.11702,34022.00751,801
PFC,73124,74864,-1740,-2.32,50831,143120.30941,1779.35355,144899.66296,433
UNIONBANK,41825,42868,-1043,-2.43,25095,127046.14668,887.05275,127933.19943,174
ADANIPORTS,80933,83100,-2167,-2.61,73441,260528.3002,3118.27064,263646.57084,1795
360ONE,19054,19568,-514,-2.63,12587,41364.179,137.39915,41501.57815,1087
HDFCLIFE,73520,75508,-1988,-2.63,51424,153293.60552,1295.61542,154589.22094,584
DMART,36822,37839,-1017,-2.69,42815,100587.79935,1073.16868,101660.96803,4299
LTF,39000,40084,-1084,-2.7,73861,156984.82065,4310.12497,161294.94562,298
NHPC,46826,48129,-1303,-2.71,34800,69650.14548,766.364,70416.50948,79
RELIANCE,597501,614295,-16794,-2.73,449390,748888.19915,22088.39835,770976.5975,1316
HAL,93123,95915,-2792,-2.91,88654,139324.74655,3942.40096,143267.14752,4364
TATAELXSI,39699,40944,-1245,-3.04,35400,49128.12437,1321.50477,50449.62914,4029
COFORGE,92928,95847,-2919,-3.05,113954,237001.45576,5575.03061,242576.48637,1492
PNBHOUSING,23696,24446,-750,-3.07,39934,89142.90255,1207.99536,90350.89791,1044
PERSISTENT,71165,73433,-2268,-3.09,82549,171731.9424,2909.31781,174641.26021,4846
AUROPHARMA,45853,47355,-1502,-3.17,35205,107766.807,1939.27547,109706.08247,1554
SIEMENS,38637,39907,-1270,-3.18,56615,137262.74464,1666.40041,138929.14505,3633
BHEL,65171,67342,-2171,-3.22,45547,203758.69263,3202.74018,206961.43282,402
CROMPTON,38971,40291,-1320,-3.28,25306,102496.73055,270.41383,102767.14438,274
PHOENIXLTD,17077,17673,-596,-3.37,18643,43518.29699,424.24497,43942.54196,1905
DLF,81237,84098,-2861,-3.4,56895,128603.35096,1865.55653,130468.9075,622
CONCOR,36147,37437,-1290,-3.45,21397,64441.0865,686.563,65127.6495,469
PGEL,36647,38023,-1376,-3.62,31101,56222.19861,834.74514,57056.94376,546
LUPIN,26668,27676,-1008,-3.64,21342,104019.30203,950.22741,104969.52944,2348
SUZLON,75455,78333,-2878,-3.67,55399,163200.98869,2206.42703,165407.41572,57
ANGELONE,25893,26883,-990,-3.68,23714,66865.43725,1208.049,68073.48625,335
JUBLFOOD,41676,43301,-1625,-3.75,25454,50890.039,1025.94512,51915.98412,423
JSWENERGY,40089,41664,-1575,-3.78,44241,116320.83585,1956.475,118277.31085,573
PRESTIGE,21709,22577,-868,-3.84,23948,67755.82608,845.77549,68601.60157,1558
ADANIENSOL,43662,45461,-1799,-3.96,34604,195372.1761,2050.785,197422.9611,1506
ABB,35975,37531,-1556,-4.15,47413,124428.98813,1996.30982,126425.29796,6977
GMRAIRPORT,39296,40996,-1700,-4.15,27234,106798.53624,1107.17871,107905.71496,108
BHARATFORG,30733,32072,-1339,-4.17,35651,145570.6052,2295.29225,147865.89745,2145
CUMMINSIND,35080,36633,-1553,-4.24,37324,199835.70344,1645.5859,201481.28934,5650
HDFCBANK,893557,933249,-39692,-4.25,777393,1493362.32593,22193.81198,1515556.13791,796
VBL,76850,80436,-3586,-4.46,59842,209712.28401,1183.64472,210895.92873,507
KALYANKJIL,53212,55765,-2553,-4.58,46186,99298.60787,1136.12313,100434.731,376
ASHOKLEY,84261,88334,-4073,-4.61,142922,275296.631,13135.1785,288431.8095,161
DALBHARAT,22260,23342,-1082,-4.64,28763,87962.31366,647.49421,88609.80787,1717
WIPRO,231637,242900,-11263,-4.64,184696,491698.893,6221.0385,497919.9315,175
ABCAPITAL,23371,24528,-1157,-4.72,28401,121946.04788,2245.24351,124191.29139,391
CHOLAFIN,40034,42028,-1994,-4.74,39868,217001.84025,2362.47637,219364.31662,1800
PATANJALI,40026,42036,-2010,-4.78,21778,60909.33688,228.74668,61138.08356,410
IRFC,51905,54575,-2670,-4.89,50476,73364.29663,2099.6351,75463.93174,91
APLAPOLLO,22751,23929,-1178,-4.92,18312,57924.9475,473.11271,58398.06021,1799
OIL,28196,29659,-1463,-4.93,29689,76657.43778,797.39436,77454.83214,405
ADANIGREEN,58980,62125,-3145,-5.06,55330,205244.07006,4641.843,209885.91306,1525
CIPLA,70089,73963,-3874,-5.24,58837,106248.969,1595.79675,107844.76576,1439
GODREJCP,30897,32690,-1793,-5.48,29957,81478.34525,353.29315,81831.6384,1036
COCHINSHIP,27594,29208,-1614,-5.53,28801,67405.37196,1033.53276,68438.90472,1455
ALKEM,19236,20394,-1158,-5.68,18326,77686.33122,170.90191,77857.23313,5425
NAUKRI,57088,60571,-3483,-5.75,67527,153279.40036,1259.98798,154539.38834,980
IEX,31821,33770,-1949,-5.77,26335,81800.74812,932.46615,82733.21427,125
POWERINDIA,58703,62309,-3606,-5.79,111043,151187.39167,4979.48901,156166.88068,33990
RVNL,61759,65579,-3820,-5.83,56461,87396.13152,2102.71242,89498.84395,240
VOLTAS,50423,53774,-3351,-6.23,53812,92254.43445,1455.37908,93709.81353,1303
MANKIND,23335,24987,-1652,-6.61,31999,53562.52807,538.6252,54101.15327,2462
SWIGGY,60858,65231,-4373,-6.7,44988,88507.53159,1111.48505,89619.01664,240
HINDUNILVR,105752,113374,-7622,-6.72,122036,306948.77292,3924.19998,310872.9729,2177
TRENT,141399,151971,-10572,-6.96,174533,209199.92319,7975.41828,217175.34147,3214
BLUESTARCO,19428,20943,-1515,-7.23,15260,38362.94078,337.33206,38700.27284,1635
SAMMAANCAP,26815,28920,-2105,-7.28,11639,22517.73432,556.19941,23073.93373,169
TATACONSUM,47154,50859,-3705,-7.28,52936,139644.97464,1771.84331,141416.81796,1131
NUVAMA,10124,10928,-804,-7.36,11148,38750.07035,508.00065,39258.071,1760
COLPAL,38779,41959,-3180,-7.58,48554,95800.94872,1444.83535,97245.78407,1990
OBEROIRLTY,27491,29965,-2474,-8.26,34446,109197.99663,1276.88911,110474.88574,1760
SHREECEM,22312,24327,-2015,-8.28,32653,106175.88426,690.09401,106865.97828,25765
AMBER,48928,53500,-4572,-8.55,78573,150482.95851,4385.12308,154868.08159,7641
WAAREEENER,65498,71796,-6298,-8.77,57888,128103.41764,1372.96327,129476.38091,3010
EXIDEIND,29986,33011,-3025,-9.16,39477,63533.46402,3141.72504,66675.18906,390
FORCEMOT,25698,28344,-2646,-9.34,101539,46385.28205,3633.53102,50018.81307,18399
BDL,40662,44949,-4287,-9.54,57194,76850.64942,2167.84622,79018.49564,1361
INOXWIND,43372,48225,-4853,-10.06,31897,38125.26821,930.11124,39055.37945,89
TMPV,199477,224424,-24947,-11.12,289989,167455.54976,7854.38728,175309.93704,352
KAYNES,53693,60835,-7142,-11.74,196819,222702.6677,7163.38453,229866.05223,3261
PAGEIND,22951,26095,-3144,-12.05,34809,120893.6352,936.9257,121830.5609,40975
KPITTECH,33241,38145,-4904,-12.86,29353,51057.72946,663.68529,51721.41476,738
